X Y
5.069460964502717770e-01 9.644986411528778669e-01
6.007191720981458483e-01 3.265693821078653469e-01
6.326697350178477341e-01 7.867808211733492429e-01
5.307968325967498124e-01 6.299473100000639869e-01
2.198924838647550173e-01 9.264993502644384149e-01
5.059043527609938806e-01 1.668474320702834079e-01
5.102527362613922257e-01 1.296420334059076307e-01
5.330251876683858026e-01 2.793012533649245066e-01
3.135277556863047543e-02 2.037980425354135594e-01
6.356225086194838836e-01 9.840788136482415682e-01
9.009052855809123184e-01 8.481401358135859381e-01
3.048023710118827889e-01 9.312336441293500577e-01
7.772862404649284462e-01 3.093323276677266698e-01
9.981062352788601100e-01 6.987981447633533350e-01
5.904009611051219686e-02 8.356568551997225480e-01
9.078759262586131307e-01 7.604217873032100838e-01
6.742441951872809591e-01 1.049384958017721692e-01
9.173190202990104680e-01 1.147177380255863799e-01
5.613078836615966738e-01 5.054388679244858906e-02
1.171908445661683507e-01 7.993957721762758872e-01
5.123172736134603555e-01 3.587433786532545632e-02
7.792438284742078114e-01 1.614749365121547209e-01
3.920719782991851643e-01 1.766713906032421066e-01
5.023843602940406550e-01 3.728507393853333074e-01
6.473192152440065961e-01 3.242093244521226936e-02
7.859208216234936373e-02 5.182043114874484990e-01
4.137121698209910159e-01 2.100608364036848918e-01
3.781916623985148718e-01 1.764956378930624403e-01
1.447723322576142113e-01 7.642327969973420343e-01
8.582192677257214353e-01 9.882230714058047871e-01
8.080956350840230451e-01 6.355149952841598893e-01
1.379970685956258825e-01 3.064619564876644997e-01
9.548036629835224831e-01 1.963779622712065187e-01
6.539474009081047701e-01 6.457867446276265300e-01
5.764250321750206130e-01 4.080339554294953874e-01
6.289788623288895542e-01 2.105919242860232465e-02
5.901025697904208611e-01 5.830663638192342679e-01
2.293104222421188387e-01 5.819460176696011899e-01
7.902944069822281925e-02 7.779632302148720147e-01
1.513466453928418165e-01 7.526615800366767139e-01
8.226360585665282166e-01 5.416718072464822287e-01
7.777961198653021713e-01 5.964853768828908276e-01
1.509931674806399560e-01 9.329294775280555507e-01
4.913549780750895435e-01 7.551798605369240969e-01
2.328141632358531332e-01 8.315375190225693380e-02
5.581361915912670391e-01 8.757183368805213641e-01
2.769502192482081737e-01 2.617301226663916180e-01
4.333638654376925636e-01 6.067948105997141850e-01
7.514322969327857926e-01 1.939577503640618206e-01
6.642339471034386378e-01 8.492478345372844739e-02
