X Y
4.886676129403362268e-01 7.486865907001476472e-01
9.292513223278270340e-01 3.395169265636236444e-01
9.098401339744244254e-01 8.300443374907683358e-01
5.992164246050641907e-01 5.455634341227729722e-01
7.743905838485964921e-01 3.157176765309561706e-01
6.308777344460667624e-01 7.483711716298570016e-01
8.284949477938683415e-01 4.136754945031695385e-02
1.212551418103832157e-01 1.729422363401922347e-02
4.753913577631287968e-01 7.722217500134809232e-02
4.570806696755136400e-02 8.894258293572457896e-01
6.037562604624693297e-01 4.170474265900941946e-01
2.047320711795357351e-01 4.897532062037733835e-01
3.999223905174462690e-01 9.171424494675736172e-01
6.470542410949728929e-01 1.008140049392525217e-01
6.621575459866991809e-01 3.744460419300199572e-01
6.402990585911836341e-01 8.783137720682762106e-01
7.149914141804919465e-01 6.509801259096061887e-01
2.009723655748389959e-01 9.191978116128305398e-01
4.454616177508177177e-01 6.757400318807208484e-01
8.288594135041871258e-02 5.444232160356190509e-01
8.706096952671574796e-01 3.918970337513341118e-01
6.872718625407336912e-02 8.367856845253935916e-01
8.920081315349015494e-01 6.612500985800262576e-01
7.157788013237310620e-01 7.058725500461271452e-02
4.465005211490794546e-01 4.210088832350791233e-01
8.783590814738139185e-01 2.221632435413264384e-01
5.470854841727996742e-01 5.564234522780420189e-02
3.990062272315478831e-01 7.993895282962131255e-01
3.760918348591278937e-01 8.257757980912237006e-01
7.219134389402470653e-03 1.479241979420493625e-01
9.807139691078688992e-01 5.421656504398564280e-02
2.611533473432225971e-02 1.247528634152432758e-01
1.484492267567694146e-01 9.109979506531764581e-01
1.392534576729864693e-02 7.487100698490353201e-01
8.063798220343164624e-01 2.312540580727052708e-01
8.096421661022847882e-01 3.764056167452716206e-01
4.843884264916636928e-01 8.410383435586812340e-01
3.310863134682959785e-01 1.833823061959254375e-01
1.246965860546762617e-01 8.441682167648612012e-01
1.174467453391236926e-01 4.235446623623471130e-01
9.366256823598156922e-01 4.803380921786910562e-01
6.430273998525041224e-01 1.309234655501605449e-01
2.110292181861737060e-01 6.792471572945635305e-02
8.042034557818508178e-01 8.994444303801737428e-01
4.073336029304641670e-01 1.069800227110949686e-01
6.685977874659115860e-01 4.610844148161991063e-01
3.694286812812319631e-02 3.883906653751892923e-01
9.619372045116828529e-01 5.761112035134074993e-01
1.868770437193713052e-01 3.813012736914306311e-01
8.334194527506704198e-01 8.245588129673612210e-01
9.729240645602535986e-01 9.795470585896252080e-01
4.089641268830382925e-01 2.991209230532485552e-01
1.990221634104445414e-01 3.401739849567841922e-02
3.783305441087122523e-01 9.781816113692927139e-01
4.014314657467575875e-01 2.958674735580514303e-01
5.804323663043373660e-01 3.284211346504166684e-01
1.599329780093604603e-01 2.735061088530345019e-01
6.634662308035474965e-01 9.304902878365061136e-01
7.334093676855957256e-02 9.042572309823337928e-02
6.093368271388159840e-01 2.499866464274037581e-01
5.878427078528428718e-01 9.655517370386663689e-01
3.966853316135818819e-01 2.285105767821937750e-02
2.053519802865478860e-01 9.425500611157233699e-01
3.479830733276826349e-01 1.613084282306211925e-01
5.655350028390612183e-01 3.627531134816959213e-01
4.114952815154271359e-01 7.202380287067284836e-01
9.820913634845833684e-01 3.057338508353221185e-01
9.019572889245149883e-01 2.105614624373983723e-01
8.563646016533745797e-01 6.580126478330861062e-02
9.011592194278665868e-01 7.032066533140733933e-01
7.645539949982604888e-01 4.151108015219263647e-01
6.232229795092696367e-01 5.604438218247872472e-01
6.278619473359796643e-01 4.549957399188969687e-01
9.838180454233078631e-01 6.625588695040818266e-02
8.725533080173856204e-01 6.424212489024250239e-02
5.303514517301258779e-01 2.055060362611033087e-01
1.377237707317577886e-01 7.511569925566270456e-01
8.977162687261683871e-01 5.673376785639254738e-01
8.787049798943261658e-01 1.527434426959484171e-02
1.705141743421956235e-01 7.813830211811713111e-01
2.022654117023304776e-01 4.882993930105328229e-02
3.153816357066687726e-01 2.990619654813091444e-01
9.741537127772713633e-01 9.646878838219691277e-01
2.311050724084070529e-01 8.405920920073313152e-01
2.277467679893709906e-01 2.168323332571095996e-01
4.912660269340480834e-01 8.481433726650258187e-01
8.602451531784048866e-01 4.009678290114393473e-02
5.910279766563187875e-01 5.297280477119927777e-01
3.401966949843537869e-01 9.219952398350234057e-01
2.024302942436790875e-01 3.687130635211555152e-01
4.534702432763093594e-02 5.862720603665914076e-01
6.046257550124480851e-01 4.032296075999195484e-01
6.349434334007882930e-01 9.468945117399849565e-01
4.498336654647347999e-01 6.494670914964010278e-01
